iso3,country,region,subregion,disaggregation,disagg.value,section,Calcium_2016,Fruit_2016,Legumes_2016,Milk_2016,Nuts and seeds_2016,Omega 3_2016,Polyunsaturated fat_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar-sweetened beverages_2016,Trans fat_2016,Vegetables_2016,Whole grain_2016
CUB,Cuba,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.53,192.07,104.5,85.46,0.6,0.05,0.06,1.2,20.69,3.09,0.06,199.81,0,217.79,90.72
CUB,Cuba,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
CYP,Cyprus,Asia,Western Asia,location,National,Dietary needs,0.6,102.13,20.07,82.03,3.34,0.06,0.09,2.14,36.64,4.2,0.11,95.79,0,170.91,33.82
CYP,Cyprus,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
CZE,Czechia,Europe,Eastern Europe,location,National,Dietary needs,0.73,85.68,17.29,118.94,1.9,0.07,0.03,4.84,45.64,4.62,0.09,97.67,0,127.59,18.58
CZE,Czechia,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
DEU,Germany,Europe,Western Europe,location,National,Dietary needs,0.86,95.87,6.52,161.28,4.22,0.06,0.06,11.11,47.24,3.84,0.09,104.84,0.01,130.2,28.11
DEU,Germany,Europe,Western Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
DJI,Djibouti,Africa,Eastern Africa,location,National,Dietary needs,0.31,24.82,36.31,38.17,1.02,0.02,0.05,0.85,13.88,2.59,0.11,107.25,0,97.76,21.32
DJI,Djibouti,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
DMA,Dominica,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.46,127.38,38.66,55.11,0.76,0.07,0.07,1.18,17.34,3.1,0.08,185.33,0,102.64,78.7
DMA,Dominica,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
DNK,Denmark,Europe,Northern Europe,location,National,Dietary needs,0.9,165.7,5.51,190.84,3.5,0.11,0.04,8.46,47.98,3.42,0.11,107.2,0,175.58,42.93
DNK,Denmark,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
DOM,Dominican Republic,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.38,266.25,53.04,36.78,0.12,0.08,0.14,1.34,17.86,3.1,0.1,168.39,0,94.9,91.51
DOM,Dominican Republic,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
DZA,Algeria,Africa,Northern Africa,location,National,Dietary needs,0.6,111.71,36.61,105.39,1.76,0.03,0.06,0.85,10.83,4.23,0.05,96.57,0,245.4,39.25
DZA,Algeria,Africa,Northern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
ECU,Ecuador,Latin America and the Caribbean,South America,location,National,Dietary needs,0.43,221.83,17.3,77.36,0.23,0.07,0.1,1.02,26.89,3.82,0.13,89.51,0.01,50.59,96.45
ECU,Ecuador,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
EGY,Egypt,Africa,Northern Africa,location,National,Dietary needs,0.46,155.93,59.98,15.96,1.67,0.06,0.03,1.15,12.79,4.23,0.03,98.55,0.02,377.16,51.16
EGY,Egypt,Africa,Northern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
ERI,Eritrea,Africa,Eastern Africa,location,National,Dietary needs,0.22,40.07,49.98,15.22,0.42,0.01,0.02,0.41,6.31,2.61,0.07,95.93,0,43.44,23.96
ERI,Eritrea,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
ESP,Spain,Europe,Southern Europe,location,National,Dietary needs,0.6,170.58,30.44,156.4,3.71,0.08,0.06,7.8,43.22,4,0.09,88.93,0,168.86,64.4
ESP,Spain,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
EST,Estonia,Europe,Northern Europe,location,National,Dietary needs,0.96,86.85,21.45,131.02,2.13,0.07,0.03,9.2,36,4,0.08,94.26,0.01,175.52,19.12
EST,Estonia,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
ETH,Ethiopia,Africa,Eastern Africa,location,National,Dietary needs,0.25,11.44,82.85,29.71,1.07,0.01,0.03,0.47,6.02,2.6,0.06,77.51,0,35.24,40.52
ETH,Ethiopia,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
FIN,Finland,Europe,Northern Europe,location,National,Dietary needs,1.05,101.26,10.41,251.44,1.16,0.08,0.02,6.64,40.83,3.84,0.11,96.41,0,131,23.06
FIN,Finland,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
FJI,Fiji,Oceania,Melanesia,location,National,Dietary needs,0.32,51.45,46.46,35.51,0.02,0.06,0.07,1.26,19.71,2.58,0.15,103.7,0,71.71,15.33
